1,$2a$10$vZXAEIh3MVAkRj8Mqz7Qu.IRzybDvAmY4i979IfOSGP9tBxPDkEYe,ADMIN,bea
10,$2a$10$Va/kmk7nohuDn9792oz1XO9LX4iND.Y115x2VOrhfEWfrgIBrcW6K,CUSTOMER,anna
17,$2a$10$1B076iERNOVfoVnOdJeccetCKDpsugECWoDnXODD9Kv5ByB6tagA.,ADMIN,admin
19,$2a$10$QF8K3ek45mLY9wKQ1aO3ZeSwHFDM.gfMNj/PP4jDRAqnafpRE1muK,CUSTOMER,dori
35,$2a$10$o/netpAkrnMCR2Kv5ilvZuQmMDkQVqxODgLDah9DeO9ATT3sfePZq,ADMIN,captain@marvel
67,$2a$10$0pv8sc4FTvT/8SHoOZTeVOTIYYPiwlEqWhJjXA6K6L7Oz6fJlg/Jq,CUSTOMER,doctor@stranger
70,$2a$10$jCrUjxgpnEMzdNmCFXm08e1KZQ0kHZXZkHL3XktKixEFrKRsf9wJm,CUSTOMER,beata
76,$2a$10$SiZOHLAU65E9/Rd3o43QTOY.tHDrk3P9S57UtedYJ8lQgnLxo.eXe,ADMIN,admin2
104,$2a$10$3a7dLCQLayiEnkeGRuXTnuLSj9jwLT4mCy/PXPU0ZW8K4sLTJiLye,CUSTOMER,dummy
116,$2a$10$QT4F/NCGMwRzS433Q3/R8ONOw7Jb0sY2S0LDMc8Mdf5xSXd2BqdX.,CUSTOMER,dummypanda31@gmail.com
118,$2a$10$tCbg2wQEwb9TQDh7iQDcMO7Dab/SYr5RJT7yTr5m8IIYFn4IL6oIi,ADMIN,foodbear31@gmail.com
